m	(L)	2630	4756
m	l=	4757	6769
m	a~	6770	9126
m	(Z)	9127	10806
m	r=	10807	12141
m	b	12142	13456
m	t(S)	13457	15451
m	U_^O	15452	18470
m	z	18471	20810
m	U	20811	22533
m	E~	22534	26458
m	E	26459	27995
m	f	27996	29121
m	J-	29122	30586
m	h-	30587	32143
m	n	32144	33278
m	I_^a	33279	36759
m	O	36760	38351
m	_	38352	40115
m	d	40116	41612
m	p	41613	43032
m	a	43033	44488
m	l=~	44489	46997
m	c	46998	48820
m	I_^E	48821	50752
m	U~	50753	54093
m	I	54094	55943
m	(S)	55944	57668
m	s	57669	59728
m	l	59729	61463
m	k	61464	62970
m	r=~	62971	64454
m	r	64455	65798
m	O~	65799	68009
m	(J)	68010	69766
-----------------------------
n	b	0	1516
n	I~	1517	4322
n	d	4323	5768
n	k	5769	7304
n	E~	7305	9757
n	s	9758	11902
n	(S)	11903	14069
n	z	14070	16033
n	U_^O	16034	18590
n	_	18591	20556
n	m	20557	22056
n	(Z)	22057	24203
n	h-	24204	25575
n	ts	25576	27423
n	p	27424	28988
n	I_^E	28989	31313
n	f	31314	33004
n	n	33005	34995
n	U	34996	36614
n	O	36615	37879
n	dz	37880	39678
n	J-	39679	41290
n	t(S)	41291	43611
n	j	43612	44883
n	g	44884	47284
n	U~	47285	49539
n	v	49540	51212
n	O~	51213	53632
n	t	53633	55099
n	I	55100	57228
n	a	57229	59630
n	E	59631	61332
n	a~	61333	63764
n	d(Z)	63765	65602
n	x	65603	67853
n	l	67854	69153
-----------------------------
p	I_^a	0	1836
p	I	1837	2958
p	l	2959	4095
p	l=	4096	5446
p	a~	5447	7454
p	c	7455	9626
p	x	9627	11803
p	E~	11804	14511
p	a	14512	16196
p	r	16197	16910
p	I~	16911	19722
p	t	19723	21411
p	U_^O	21412	24289
p	m	24290	25455
p	O	25456	26401
p	_	26402	27852
p	U	27853	29192
p	ts	29193	31208
p	E	31209	32564
p	(L)	32565	33597
p	(J)	33598	35745
p	U~	35746	38971
p	r=~	38972	41998
p	n	41999	43591
p	(S)	43592	45274
p	f	45275	47127
p	{	47128	48403
p	j	48404	49690
p	s	49691	51848
p	t(S)	51849	53460
p	r=	53461	54647
p	k	54648	56460
p	I_^E	56461	58850
p	O~	58851	61681
-----------------------------
r	U_^O	0	2400
r	(S)	2401	4235
r	k	4236	5688
r	j	5689	7044
r	I	7045	7840
r	I_^E	7841	9656
r	(N)	9657	11402
r	I~	11403	13345
r	J-	13346	14952
r	E	14953	16242
r	n	16243	17625
r	U	17626	19138
r	p	19139	20407
r	g	20408	22258
r	d	22259	23603
r	f	23604	25174
r	h-	25175	26470
r	l	26471	27742
r	v	27743	28914
r	t	28915	31086
r	G	31087	33819
r	b	33820	35073
r	t(S)	35074	37136
r	I_^a	37137	39630
r	O	39631	40367
r	_	40368	42117
r	(L)	42118	43629
r	U~	43630	46251
r	z	46252	47958
r	a	47959	49400
r	m	49401	50639
r	s	50640	52316
r	a~	52317	54341
r	E~	54342	56199
r	l=	56200	57473
r	x	57474	58934
r	O~	58935	61204
r	dz	61205	63917
r	(Z)	63918	65756
r	(J)	65757	67810
-----------------------------
r=	z	0	1939
r=	_	1940	5900
r=	d	5901	7419
r=	ts	7420	10629
r=	t(S)	10630	14540
r=	(J)	14541	16764
r=	n	16765	18591
r=	l	18592	19963
r=	x	19964	21788
r=	h-	21789	23592
r=	c	23593	26085
r=	(S)	26086	28583
r=	(N)	28584	30396
r=	b	30397	31891
r=	s	31892	33975
r=	G	33976	36145
r=	v	36146	37898
r=	p	37899	39664
